mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.4078345775604248,0.07183102988872997,0.11384015083312989,0.017647473762632915,0.01,,"{'model__C': 0.01, 'model__class_weight': None}",0.6750086141210245,0.6763933491318918,0.6679408041326772,0.6721643400849105,0.6750852252245483,0.6733184665390104,0.0030227205921308357,10,0.6731644092048195,0.6728969459532281,0.6750642989705531,0.6737194275394509,0.6729344018242753,0.6735558966984654,0.0008094138831731509
1.2352601051330567,0.11323493567598171,0.07933621406555176,0.013574865015531123,0.01,balanced,"{'model__C': 0.01, 'model__class_weight': 'balanced'}",0.6754922437234195,0.6766462553256735,0.6680655760157747,0.6725963971933859,0.675652646395382,0.6736906237307272,0.0031199236904208825,5,0.6735394259248744,0.6732968160399186,0.6754465173063462,0.6740760416405829,0.6732736349446804,0.6739264871712805,0.0008130653507206966
1.2617196559906005,0.039101398763581804,0.09515194892883301,0.017972285427839692,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.6750151507216418,0.6763965468843298,0.667948594822668,0.6721790920390776,0.6750925694212971,0.6733263907778028,0.0030210640310341123,9,0.6731736386553124,0.6729054239390424,0.6750741591904855,0.6737265846694731,0.6729413156353236,0.6735642244179274,0.0008100437678352641
1.1627210617065429,0.05587076607240203,0.08476848602294922,0.015328575808689814,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.6755008573516736,0.6766528309508641,0.6680719091882649,0.6726079446678769,0.6756662327895689,0.6736999549896497,0.0031207806789859695,4,0.6735493459809625,0.673307247212388,0.6754570308261472,0.6740849597361922,0.6732823751966616,0.6739361917904704,0.0008133609746091071
1.1589624881744385,0.06569896637309017,0.08868198394775391,0.010139864646584784,1.0,,"{'model__C': 1, 'model__class_weight': None}",0.675015727263121,0.6763966159715739,0.6679493420778333,0.6721816107255667,0.675093654163348,0.6733273900402885,0.0030208121249821604,7,0.6731740688964323,0.6729065923067914,0.675075223673192,0.6737280480569953,0.672942022475671,0.6735651910818163,0.0008101591008474835
1.2414026737213135,0.17545512872134603,0.0824695110321045,0.008064983686469034,1.0,balanced,"{'model__C': 1, 'model__class_weight': 'balanced'}",0.6755017172361875,0.6766535983127534,0.6680722421237344,0.6726095950119133,0.6756666617557435,0.6737007628880665,0.0031208436454171107,3,0.673550086223835,0.6733080517557826,0.675458377496176,0.6740865485657366,0.6732830620001043,0.6739372252083269,0.0008136174872246255
1.2978246688842774,0.21794718728433582,0.08987154960632324,0.015933647261942182,10.0,,"{'model__C': 10, 'model__class_weight': None}",0.67501682121362,0.6763966801240147,0.667947882094144,0.6721816896657896,0.6750938439932068,0.673327383418155,0.0030214835417656724,8,0.6731744108078631,0.6729066924702096,0.6750753195336586,0.6737281408286138,0.6729421049352405,0.6735653337151171,0.0008101365871724651
1.2024151802062988,0.08333519984889178,0.0832188606262207,0.00671786383622612,10.0,balanced,"{'model__C': 10, 'model__class_weight': 'balanced'}",0.6755013033089716,0.6766537636286587,0.6680722519884892,0.6726097553592412,0.6756669280106106,0.6737008004591943,0.003120845937816099,2,0.6735501514305687,0.6733080962899793,0.6754584380639626,0.674086555038175,0.6732830415008095,0.673937256464699,0.000813630576350123
1.1150265216827393,0.0506229509063061,0.07814669609069824,0.005849192394069957,100.0,,"{'model__C': 100, 'model__class_weight': None}",0.6750168310690299,0.6763967122002351,0.6679478648308232,0.6721817365365469,0.6750938365972383,0.6733273962467747,0.0030214928886035447,6,0.6731744004796097,0.6729067034111369,0.675075319071309,0.6737281465305237,0.6729421075554511,0.6735653354096061,0.0008101354586484403
1.0611218452453612,0.06692896694669047,0.06305322647094727,0.018322686406024684,100.0,balanced,"{'model__C': 100, 'model__class_weight': 'balanced'}",0.6755013427306112,0.6766538006396822,0.6680722865151305,0.6726098022299987,0.6756669132186737,0.6737008290668193,0.0031208398956256893,1,0.673550152355487,0.673308113086614,0.6754584560955939,0.6740865599695568,0.6732830498238314,0.6739372662662165,0.0008136334756669597
